TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VSLH11;2,96;0,033000;14,56;10,08;0,29;99.235,18;3,38;-24,08;-21,12;300.936.070,55;70.255,00;Ativa;29.864.091,00
VTBL11;0,00;1,544600;0,00;85,40;;;0,00;;;19.344.062,24;12,00;Ativa;226.505,00
VTLT11;88,70;0,990000;12,90;104,95;0,85;52.440,05;3,66;3,70;12,38;221.970.675,05;5.879,00;Ativa;2.115.000,00
VTPA11;0,00;;0,00;99,59;;;0,06;;;65.715.210,08;1,00;Ativa;659.857,00
VTPL11;72,10;5,110000;0,00;100,67;0,72;72,00;1,55;;;139.556.053,99;124,00;Ativa;1.386.242,00
VTRT11;0,00;0,107508;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VTVI11;0,00;;0,00;30,45;;;1,86;;;54.223.834,98;1,00;Ativa;1.780.984,00
VTXI11;0,00;;0,00;3,03;;;9,14;;;313.100,19;2,00;Ativa;103.500,00
VVCO11;14,00;0,323281;0,00;14,35;0,98;38.168,85;0,38;;32,93;142.028.748,24;2.726,00;Ativa;9.900.000,00
VVCR11;10,10;0,120000;11,68;10,26;0,98;37.566,77;8,23;-38,61;10,63;77.055.827,71;2.250,00;Ativa;7.508.332,00
VVMR11;85,66;0,190000;2,87;107,22;0,80;357.934,82;0,27;0,17;8,57;302.698.032,13;637,00;Ativa;2.823.180,00
VVPR11;101,50;0,892340;0,00;63,81;1,59;;3,50;;1,89;118.155.565,38;8.102,00;;1.851.786,00
VVRI11;83,74;0,900000;9,89;96,00;0,87;125.803,08;3,81;;;77.059.915,97;165,00;Ativa;802.683,00
VXXV11;700,00;93,020000;0,00;311,34;2,25;113.260,00;1,19;;6,49;86.067.991,09;13,00;Ativa;276.446,00
WHGR11;8,80;0,100000;13,58;9,62;0,91;306.515,14;1,83;1,58;7,98;297.491.718,51;13.720,00;Ativa;30.912.378,00
WPLZ11;47,50;0,630000;8,80;66,80;0,71;1.966,82;4,74;-10,65;-5,50;78.161.028,23;1.602,00;Passiva;1.170.000,00
WSEC11;5,99;0,095000;16,92;8,10;0,74;6.824,36;31,88;;;19.903.231,99;618,00;Ativa;2.456.510,00
WTSP11;57,00;0,300000;23,15;84,38;0,68;627,43;0,68;52,19;13,49;104.514.250,27;221,00;Ativa;1.238.572,00
XBXO11;0,00;;0,00;8,99;;;0,00;;;27.342.960,61;5,00;Ativa;3.042.600,00
XPCI11;81,81;1,000000;12,57;88,51;0,92;1.476.650,32;2,26;-0,61;7,98;770.154.781,99;67.830,00;Ativa;8.701.551,00
XPCM11;7,21;0,020000;0,00;26,58;0,27;35.064,14;2,24;-34,84;-16,24;64.184.741,33;17.955,00;Passiva;2.414.570,00
XPIN11;70,92;0,740000;12,01;103,13;0,69;241.874,64;2,51;3,57;10,20;737.453.432,21;44.004,00;Ativa;7.150.422,00
XPLG11;100,40;0,820000;9,56;107,49;0,93;2.841.287,36;5,82;2,56;11,76;3.351.014.684,39;340.272,00;Ativa;31.175.931,00
XPML11;105,45;0,920000;10,47;117,40;0,90;10.363.653,45;1,46;6,04;15,39;6.658.984.551,32;598.439,00;Ativa;56.720.787,00
XPRE11;0,00;;0,00;;;;;;;;;;0,00
XPSF11;6,08;0,060000;12,93;7,72;0,79;283.714,27;1,88;-4,84;7,38;334.219.128,74;61.951,00;Ativa;43.302.140,00
YEES11;102,05;;0,00;86,48;1,18;0,00;23,94;;;14.263.353,07;130,00;Ativa;164.927,00
YUFI11;59,50;0,171599;3,67;74,87;0,79;0,00;42,83;;;36.883.399,37;56,00;Ativa;492.650,00
ZAGH11;10,28;0,070000;8,35;9,35;1,10;901,41;2,19;;;83.171.492,90;413,00;;8.891.662,00
ZAVC11;8,62;0,130000;17,75;9,99;0,86;28.914,62;17,10;;;30.949.782,45;329,00;Ativa;3.097.348,00
ZAVI11;89,65;1,180000;15,20;129,96;0,69;75.141,68;2,98;;;152.489.535,79;3.215,00;Ativa;1.173.322,00
ZIFI11;529,00;3,304958;0,00;1.770,28;0,30;43.100,10;0,00;;-22,71;84.061.956,93;94,00;Ativa;47.485,00
