TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VITT3;4,69;4,03;9,66;1,12;0,71;32,86;10,85;9,07;8,08;10,95;2,87;0,40;0,88;1,81;-1,93;2,67;11,59;7,39;7,73;0,64;0,36;0,81;12,74;5,86;992.375,58;4,18;0,48;-0,65;703.469.604,24
VIVA3;24,28;2,72;7,83;2,20;1,36;70,11;27,44;27,44;7,83;8,23;0,40;0,11;2,15;3,02;-3,62;3,54;28,05;17,33;21,78;0,62;0,38;0,63;28,01;23,21;95.012.066,05;11,06;3,10;0,08;5.734.881.831,32
VIVR3;0,92;;-0,81;0,24;0,13;29,89;-34,81;-39,35;-0,92;-0,95;-0,03;0,01;0,32;0,74;-0,22;1,71;-30,01;-15,91;-23,84;0,53;0,47;0,40;;;99.496,05;3,85;-1,16;0,02;36.064.117,08
VIVT3;27,66;3,37;15,81;1,33;0,71;43,78;15,43;10,07;10,32;11,73;1,41;0,18;1,59;-94,00;-0,90;0,96;8,39;4,51;8,47;0,54;0,46;0,45;4,76;2,69;154.804.970,37;20,87;1,75;1,30;90.272.435.010,56
VIVT4;45,34;;25,89;2,17;1,17;43,78;15,43;10,07;16,90;11,73;1,41;0,18;2,61;-153,97;-1,47;0,96;8,39;4,51;8,47;0,54;0,46;0,45;4,76;2,69;;20,87;1,75;2,13;90.272.435.010,56
VLID3;26,76;11,38;7,15;1,25;0,74;35,02;17,65;14,01;5,67;5,56;-0,12;-0,03;1,00;2,23;-1,53;2,83;17,51;10,39;14,46;0,59;0,40;0,74;1,58;41,37;8.695.333,47;21,39;3,74;4,53;2.189.941.395,00
VSPT3;5,00;;-1,28;0,44;0,15;21,10;-8,21;-14,35;-2,23;-2,12;0,12;-0,02;0,18;2,57;-0,17;1,85;-34,74;-11,66;-20,67;0,34;0,66;0,81;7,66;;0,00;11,27;-3,91;0,02;714.038.920,00
VSPT4;0,00;;0,00;0,00;0,00;21,10;-8,21;-14,35;0,00;-2,12;0,12;-0,02;0,00;0,00;0,00;1,85;-34,74;-11,66;-20,67;0,34;0,66;0,81;7,66;;;11,27;-3,91;0,00;714.038.920,00
VSTE3;6,19;;-75,25;0,69;0,43;63,27;3,98;-0,83;15,69;22,32;6,63;0,29;0,62;5,00;-0,61;1,41;-0,91;-0,57;3,28;0,63;0,37;0,69;3,10;;111.355,32;9,00;-0,08;0,41;705.439.811,31
VTRU3;10,40;0,23;;;;;;;;;;;;;;;;;;;;;;;5.514.642,42;;0,00;;19.700.749.660,80
VULC3;21,17;6,50;9,93;2,64;1,99;41,88;18,82;18,63;9,83;9,86;0,02;0,01;1,85;3,88;-6,62;3,74;26,62;20,02;22,85;0,75;0,25;1,07;17,52;32,63;18.719.861,95;8,01;2,13;0,57;5.833.102.285,48
VVEO3;1,37;;-0,30;0,24;0,05;11,32;-7,54;-12,95;-0,52;-3,88;-3,35;1,55;0,04;0,19;-0,11;1,85;-79,07;-15,77;-17,04;0,20;0,80;1,22;30,99;;2.663.713,53;5,79;-4,58;0,00;448.720.645,12
WEGE3;44,55;1,76;29,81;8,77;4,75;33,62;20,06;15,64;23,24;22,94;-0,30;-0,11;4,66;17,94;-13,14;1,71;29,42;15,92;25,11;0,54;0,43;1,02;23,27;31,13;484.973.828,84;5,07;1,49;3,38;186.612.758.191,08
WEST3;4,70;;-1,31;0,23;0,17;39,10;-29,99;-21,92;-0,95;1,12;2,07;-0,49;0,29;0,43;-0,40;2,94;-17,29;-12,68;-23,20;0,73;0,27;0,58;10,76;;35.585,11;20,89;-3,61;0,04;52.436.122,56
WHRL3;4,42;13,44;7,44;2,43;0,66;18,11;7,43;6,80;6,80;5,19;-1,80;-0,64;0,51;15,70;-2,13;1,07;32,67;8,90;20,60;0,27;0,73;1,31;10,80;-12,80;26.181,32;1,82;0,60;0,06;6.842.235.201,04
WHRL4;4,86;13,59;8,09;2,64;0,72;18,11;7,43;6,80;7,40;5,19;-1,80;-0,64;0,55;17,08;-2,32;1,07;32,67;8,90;20,60;0,27;0,73;1,31;10,80;-12,80;32.629,89;1,82;0,60;0,06;6.842.235.201,04
WIZC3;6,97;3,60;6,57;1,87;0,43;62,29;44,13;12,96;1,93;1,87;-0,06;-0,06;0,85;47,20;-0,58;1,04;28,54;6,62;24,92;0,23;0,53;0,51;13,02;-4,57;3.123.942,84;3,71;1,06;2,60;1.111.355.609,90
WLMM3;26,08;2,30;7,34;1,23;0,72;11,92;6,76;4,14;4,50;6,50;1,35;0,37;0,30;2,01;-1,89;2,40;16,73;9,86;13,11;0,59;0,41;2,38;23,58;21,05;771,43;21,24;3,55;0,57;1.085.820.660,60
WLMM4;32,94;2,00;9,27;1,55;0,91;11,92;6,76;4,14;5,68;6,50;1,35;0,37;0,38;2,54;-2,39;2,40;16,73;9,86;13,11;0,59;0,41;2,38;23,58;21,05;24.489,19;21,24;3,55;0,72;1.085.820.660,60
YDUQ3;15,77;3,63;13,47;1,39;0,44;60,89;17,03;5,94;4,70;9,55;4,85;1,43;0,80;6,73;-0,58;1,36;10,29;3,25;10,24;0,32;0,68;0,55;8,46;-13,14;84.938.054,53;11,32;1,17;0,13;4.303.194.960,70
ZAMP3;3,18;;-9,15;0,87;0,30;64,73;-0,03;-3,07;-841,40;-1.315,90;-474,51;0,49;0,28;10,87;-0,39;1,14;-9,48;-3,31;-1,50;0,35;0,65;1,08;9,70;;2.493.111,42;3,73;-0,35;-1,15;1.318.467.439,80
