TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SOND3;47,00;;4,85;1,61;0,98;30,11;15,95;11,54;3,51;2,06;-0,95;-0,44;0,56;3,40;-2,24;2,07;33,27;20,30;27,61;0,61;0,39;1,76;25,49;40,27;0,00;29,13;9,69;0,01;99.069.787,00
SOND5;36,73;;3,79;1,26;0,77;30,11;15,95;11,54;2,74;2,06;-0,95;-0,44;0,44;2,66;-1,75;2,07;33,27;20,30;27,61;0,61;0,39;1,76;25,49;40,27;773,31;29,13;9,69;0,01;99.069.787,00
SOND6;43,01;;4,44;1,48;0,90;30,11;15,95;11,54;3,21;2,06;-0,95;-0,44;0,51;3,11;-2,05;2,07;33,27;20,30;27,61;0,61;0,39;1,76;25,49;40,27;614,43;29,13;9,69;0,01;99.069.787,00
SPRT3B;76,40;;-2.383,09;-17.249,28;13.052,41;;;;-2.390,16;-2.389,98;0,18;;;-17.249,28;;0,57;-723,82;-547,71;721,68;-0,76;1,76;0,00;;;;0,00;-0,03;16,35;370.531.748,80
SQIA3;27,37;;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;3,18;0,40;0,58;0,41;35,51;;;7,40;-0,25;0,62;2.406.971.773,64
SRNA3;11,40;;1.156,25;1,30;0,34;30,32;25,59;0,13;6,03;15,16;9,13;1,97;1,54;14,99;-0,41;1,16;0,11;0,03;6,10;0,26;0,73;0,22;;;105.388.280,37;8,74;0,01;-11,82;7.086.673.727,28
STBP3;13,56;6,35;14,76;19,25;2,21;56,09;43,80;25,23;8,50;10,14;1,63;3,69;3,72;1.994,35;-2,63;1,01;130,43;14,96;32,20;0,11;0,89;0,59;24,45;120,02;74.707.545,00;0,70;0,92;0,48;11.700.866.796,26
STKF3;0,00;;0,00;0,00;0,00;54,65;36,95;23,68;0,00;3,27;3,27;0,25;0,00;0,00;0,00;3,14;4,97;3,15;5,31;0,63;0,37;0,13;24,60;27,74;;8,19;0,41;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;22,25;;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;117.382.534,88;19,64;0,43;-0,94;9.475.042.424,17
